query,key,count
양팡,youtube_comment1,"[('금지', 171), ('언니', 165), ('양팡', 154), ('가족', 101), ('영상', 55), ('방송', 46), ('행복', 31), ('성공', 28), ('식이', 26), ('누나', 23)]"
양팡,youtube_comment2,"[('광고', 123), ('양팡', 82), ('영상', 63), ('배우', 51), ('사건', 42), ('유튜버', 39), ('생각', 29), ('시청자', 28), ('표시', 27), ('유튜브', 25)]"
양팡,youtube_comment3,"[('영상', 38), ('양팡', 34), ('광고', 30), ('사건', 22), ('사과', 20), ('댓글', 20), ('방송', 19), ('강아지', 18), ('유신', 16), ('생각', 14)]"
강민경,naver_comment1,"[('국가', 2), ('전범', 2), ('조사', 2), ('김일성', 1), ('괴뢰군', 1), ('용서', 1), ('민족', 1), ('생각', 1), ('통일', 1), ('국민', 1)]"
강민경,naver_comment2,"[('거짓말', 2), ('실수', 2), ('문구', 2), ('본인', 1), ('실망', 1), ('한번', 1), ('신고', 1), ('해명', 1), ('요즘', 1), ('피피엘', 1)]"
강민경,naver_comment3,"[('광고', 52), ('사과', 16), ('영상', 12), ('은퇴', 12), ('사기', 10), ('기자', 9), ('구독자', 9), ('먹방', 8), ('유튜버', 8), ('유투버', 7)]"
강민경,naver_content1,"[('네일', 47), ('전쟁', 34), ('강민', 32), ('컬러', 30), ('실버', 24), ('장애', 23), ('주얼리', 23), ('데싱디바', 22), ('박물관', 21), ('국립중앙박물관', 19)]"
강민경,naver_content2,"[('광고', 6), ('표기', 6), ('슈스스', 5), ('영상', 5), ('콘텐츠', 5), ('한혜연', 5), ('유료', 4), ('확인', 4), ('해당', 4), ('유튜브', 3)]"
강민경,naver_content3,"[('광고', 775), ('교육', 456), ('유튜버', 302), ('영상', 302), ('지원청', 267), ('유튜브', 253), ('사과', 133), ('샌드박스', 124), ('사실', 117), ('논란', 115)]"
강민경,youtube_transcipt1,"[('음악', 62), ('다비치', 16), ('소시지', 15), ('늦바람', 14), ('주인', 14), ('휴지', 14), ('이빨', 13), ('얼굴', 13), ('어깨', 13), ('패스', 12)]"
강민경,youtube_transcipt2,"[('광고', 72), ('유튜브', 51), ('강민', 36), ('영상', 30), ('혜연', 23), ('협찬', 22), ('진행', 21), ('음악', 20), ('부분', 20), ('표기', 20)]"
강민경,youtube_transcipt3,"[('광고', 110), ('제품', 50), ('정도', 44), ('유튜브', 40), ('영상', 38), ('생각', 33), ('강민경', 28), ('채널', 26), ('자신', 25), ('패션', 24)]"
강민경,youtube_comment1,"[('노래', 203), ('언니', 191), ('목소리', 133), ('강민', 120), ('이해리', 97), ('해리', 92), ('가수', 86), ('커버', 85), ('영상', 81), ('다비치', 79)]"
강민경,youtube_comment2,"[('광고', 19), ('한혜연', 19), ('강민', 15), ('영상', 13), ('혜연', 11), ('사기', 9), ('거짓말', 8), ('협찬', 7), ('생각', 7), ('제품', 7)]"
강민경,youtube_comment3,"[('광고', 34), ('강민', 18), ('협찬', 16), ('한혜연', 11), ('영상', 8), ('광고비', 7), ('표기', 6), ('거짓말', 5), ('목적', 5), ('댓글', 5)]"
유희열,naver_comment1,"[('서태지', 5), ('음주', 4), ('운전', 4), ('고인', 3), ('명복', 3), ('건강', 3), ('음주운전', 3), ('생계', 3), ('표절', 2), ('가요', 2)]"
유희열,naver_comment2,[]
유희열,naver_comment3,"[('표절', 111), ('유희열', 47), ('인정', 30), ('음악', 28), ('사과', 26), ('일본', 24), ('노래', 20), ('정도', 15), ('생각', 14), ('국민', 14)]"
유희열,naver_content1,"[('년대', 26), ('평론가', 19), ('음악', 19), ('한국', 18), ('송해', 15), ('시대', 14), ('저자', 12), ('문화', 12), ('서울', 11), ('전국노래자랑', 10)]"
유희열,naver_content2,[]
유희열,naver_content3,"[('유희열', 570), ('표절', 505), ('음악', 301), ('유사', 262), ('의혹', 231), ('논란', 213), ('사카모토 류이치', 161), ('사과', 160), ('일본', 141), ('방송', 134)]"
유희열,youtube_transcipt1,"[('음악', 211), ('박수', 68), ('얘기', 29), ('생각', 19), ('미주', 15), ('사랑', 14), ('다음', 12), ('방송', 11), ('노래', 11), ('그때', 11)]"
유희열,youtube_transcipt2,[]
유희열,youtube_transcipt3,"[('음악', 300), ('사랑', 121), ('표절', 78), ('박수', 65), ('생각', 38), ('마음', 38), ('유희열', 30), ('가슴', 26), ('시간', 22), ('논란', 22)]"
유희열,youtube_comment1,"[('노래', 925), ('목소리', 314), ('수지', 251), ('가수', 250), ('사랑', 188), ('무대', 181), ('최고', 165), ('영상', 155), ('가사', 142), ('유희열', 139)]"
유희열,youtube_comment2,[]
유희열,youtube_comment3,"[('표절', 773), ('유희열', 346), ('음악', 205), ('노래', 193), ('코드', 170), ('생각', 134), ('멜로디', 132), ('진행', 86), ('무진', 84), ('논란', 82)]"
홍진영,naver_comment1,"[('서류', 3), ('공무원', 2), ('시간', 2), ('체크', 2), ('생각', 2), ('뒷돈', 2), ('얼굴', 1), ('대칭', 1), ('유전자', 1), ('동생', 1)]"
홍진영,naver_comment2,"[('하나님', 8), ('사랑', 4), ('김경범', 2), ('작곡가', 2), ('청년', 2), ('앨범', 2), ('가사', 2), ('김호중', 2), ('김지환', 1), ('최고', 1)]"
홍진영,naver_comment3,"[('홍진영', 41), ('논문', 30), ('교수', 28), ('학위', 23), ('조사', 21), ('방송', 20), ('표절', 20), ('가수', 19), ('조선대', 19), ('박사', 16)]"
홍진영,naver_content1,"[('게임', 31), ('전략', 21), ('홍진영', 18), ('우유', 15), ('공연', 15), ('건물', 14), ('소방', 13), ('국내', 11), ('머랭커버', 10), ('이벤트', 10)]"
